redshift,stellar_mass,deVRad_r,deVAB_r,expRad_r,expAB_r,class,class_label
0.02889,10.296521,23.81842,0.556814,9.363983,0.531654,1,spiral
0.171759,11.141356,7.711946,0.394926,3.728172,0.40896,1,spiral
0.101043,10.628794,12.717352,0.243649,5.293226,0.255462,1,spiral
0.074106,10.168174,8.33892,0.449988,3.558261,0.471949,1,spiral
0.124047,10.458267,10.189968,0.53545,3.58439,0.582853,1,spiral
0.24322,11.580123,1.966565,0.602659,1.210383,0.63967,0,elliptical
0.139282,10.741822,12.32066,0.481269,4.402159,0.51585,1,spiral
0.024173,10.757148,7.054361,0.319111,3.766284,0.415543,1,spiral
0.101909,10.650733,5.186635,0.521928,2.607942,0.532504,1,spiral
0.102582,10.973456,5.238433,0.368789,3.009698,0.381297,1,spiral
0.176109,10.964849,4.185102,0.714678,1.983493,0.722216,1,spiral
0.131665,10.752498,8.243093,0.465175,3.530524,0.496893,1,spiral
0.19738,11.351582,1.451611,0.887429,0.840899,0.957409,0,elliptical
0.260759,11.610216,2.248892,0.726185,1.278238,0.768181,0,elliptical
0.286638,11.797031,5.115784,0.908992,2.067268,0.935136,0,elliptical
0.087205,10.82398,5.906329,0.352924,2.919937,0.400433,1,spiral
0.132097,11.39587,2.5391,0.783743,1.523723,0.777701,0,elliptical
0.075502,10.497176,2.876097,0.222354,2.044479,0.263261,1,spiral
0.118682,10.941451,4.527497,0.692545,2.403377,0.718874,1,spiral
0.131186,10.884171,11.267947,0.561409,4.337092,0.558867,1,spiral
0.0775,10.404356,11.823829,0.57812,4.48666,0.588425,1,spiral
0.089256,10.798924,3.735835,0.799425,1.986361,0.832322,1,spiral
0.120432,10.550688,3.529528,0.847219,1.987965,0.856534,1,spiral
0.084725,10.531496,5.563862,0.493802,2.567927,0.529565,1,spiral
0.081078,10.521828,5.737469,0.252042,2.962111,0.294978,1,spiral
0.073204,10.028047,9.397106,0.488297,3.801015,0.499999,1,spiral
0.089647,10.358475,5.206278,0.187847,2.991065,0.230511,1,spiral
0.034671,10.296057,22.908518,0.828854,8.336287,0.841166,1,spiral
0.089957,10.960919,2.601547,0.476265,1.893087,0.482958,1,spiral
